4,DORNACOLUNA,99988877700,8,D,10,16000,R
13,KUASDAS,12259149901,8,S,11,8800,F
20,CHESTER,12259149901,6,P,10,18000,F
18,CANASTRA,12259149901,5,S,8,4000,F
5,BIPOLAR,12259149901,5,D,5,5000,R
17,VELOCISTA,12259149901,9,D,8,14400,R
21,NOMADE,12259149901,6,D,3,3600,R
22,VACILAO,12259149901,8,S,7,5600,R
2,HAPO,12312312312,3,P,7,6300,F
9,BATMAN,12312312312,5,S,10,5000,F
15,PEDRINHO,12312312312,6,P,9,16200,C
12,CASTRADO,12312312312,4,P,9,10800,F
3,YOKI,12312312312,9,S,10,9000,R
23,ZORIAN,12312312312,9,P,10,27000,R
24,ZORIAN,12312312312,2,S,12,2400,R
25,FLAVIOZAO,12312312312,9,P,2,5400,R
1,FLAUTA,12312312312,5,S,3,1500,A
11,CACHORROBIRUTA,12312312312,8,D,7,11200,A
14,FAVELAVENCEU,12312312312,30,P,6,54000,A
16,FELIX,12312312312,7,P,1,2100,F
19,CABOHDMI,12312312312,8,S,9,7200,A
26,BOLINHODEMORANGO,77766655544,4,D,7,5600,R
